Final results:
dst[176] bits: 0x3C001542
golden[176] bits: 0x3C0015A5
dst[177] bits: 0x3B0A26D3
golden[177] bits: 0x3B0A2532
dst[178] bits: 0x3A8F7DAE
golden[178] bits: 0x3A8F7B08
dst[179] bits: 0x39D86589
golden[179] bits: 0x39D85E50
dst[180] bits: 0x3C5BAEA7
golden[180] bits: 0x3C5BAF53
dst[181] bits: 0x39F36FE0
golden[181] bits: 0x39F367EC
dst[182] bits: 0x3C2D4A42
golden[182] bits: 0x3C2D4AC7
dst[183] bits: 0x3C996212
golden[183] bits: 0x3C9963AF
dst[184] bits: 0x3B7FE463
golden[184] bits: 0x3B7FE350
dst[185] bits: 0x3A4FB2A0
golden[185] bits: 0x3A4FACFC
dst[186] bits: 0x3C524766
golden[186] bits: 0x3C52480C
dst[187] bits: 0x3CA0A6B0
golden[187] bits: 0x3CA0A861
dst[188] bits: 0x3BDA7470
golden[188] bits: 0x3BDA737E
dst[189] bits: 0x3B482B0E
golden[189] bits: 0x3B4828A3
dst[190] bits: 0x3AED27BC
golden[190] bits: 0x3AED2304
dst[191] bits: 0x3AD17761
golden[191] bits: 0x3AD17350
dst[192] bits: 0x3A6E3046
golden[192] bits: 0x3A6E29BF
dst[193] bits: 0x3BC1DA4F
golden[193] bits: 0x3BC1D969
dst[194] bits: 0x3B13BDCE
golden[194] bits: 0x3B13BC0A
dst[195] bits: 0x3A635996
golden[195] bits: 0x3A635377
dst[196] bits: 0x3A1ECF84
golden[196] bits: 0x3A1ECB32
dst[197] bits: 0x3BBB99D5
golden[197] bits: 0x3BBB9908
dst[198] bits: 0x3AAAE8A6
golden[198] bits: 0x3AAAE546
dst[199] bits: 0x3B410887
golden[199] bits: 0x3B410645
